cell_id,concurrency,measured_requests,order,role,warmup_requests,wave,planned,valid_outputs,failed,effective_outputs_per_second,measured_walltime_s,known_usd,unknown_requests,cost_status_counts,valid_http_p50_ms,valid_http_p95_ms,all_attempt_http_p50_ms,all_attempt_http_p95_ms,admission_wait_p50_ms,admission_wait_p95_ms,known_usd_per_1000_planned,peak_http_inflight,started_at,ended_at,failure_percent
w2_jev_c1,1,200,36,jev,5,2,200,200,0,2.153313417481089,92.880116,0.005833464,0,{'provider_reported': 200},404.0,538.5437999999997,404.0,538.5437999999997,0.029,0.036,0.02916732,1,2026-09-23T02:20:53.850320+00:00,2026-09-23T02:22:26.731615+00:00,0.0
w2_luna_c1,1,200,37,luna,5,2,200,200,0,0.7131248285647911,280.45580800000005,0.0175386,0,{'provider_reported': 200},1243.879,1766.738399999998,1243.879,1766.738399999998,0.001,0.002,0.087693,1,2026-09-23T02:22:34.109764+00:00,2026-09-23T02:27:14.568902+00:00,0.0
w2_luna_c8,8,200,38,luna,5,2,200,200,0,5.973499227760953,33.481213000000004,0.0175386,0,{'provider_reported': 200},1222.301,1812.6271,1222.301,1812.6271,0.001,0.002,0.087693,8,2026-09-23T02:27:20.972166+00:00,2026-09-23T02:27:54.453933+00:00,0.0
w2_deepseek_c32,32,200,39,deepseek,5,2,200,200,0,23.589503944577878,8.478347,0.0244635,0,{'estimated_upper_peak_uncached': 200},1031.871,1864.0738999999999,1031.871,1864.0738999999999,0.001,0.001,0.1223175,32,2026-09-23T02:28:00.473612+00:00,2026-09-23T02:28:08.952119+00:00,0.0
w3_deepseek_c16,16,200,40,deepseek,5,3,200,200,0,13.278645673747528,15.061777,0.0238332,0,{'estimated_upper_peak_uncached': 200},1001.946,1822.7341999999999,1001.946,1822.7341999999999,0.001,0.001,0.119166,16,2026-09-23T02:28:14.473372+00:00,2026-09-23T02:28:29.535366+00:00,0.0
w3_gemini_c32,32,200,41,gemini,5,3,200,200,0,27.730827945464554,7.21219,0.02121250,0,{'provider_reported': 200},756.024,1549.3931999999998,756.024,1549.3931999999998,0.001,0.001,0.1060625,32,2026-09-23T02:28:34.370748+00:00,2026-09-23T02:28:41.583395+00:00,0.0
w3_jev_c16,16,200,42,jev,5,3,200,199,1,15.842464444215699,12.561176999999999,0.005742282,0,{'provider_reported': 200},370.626,466.7713999999999,370.591,466.41019999999986,557.8810000000001,613.9243,0.02871141,9,2026-09-23T02:28:43.841968+00:00,2026-09-23T02:28:56.403545+00:00,0.5
w3_jev_c8,8,200,43,jev,5,3,200,200,0,15.765657998261206,12.685801,0.005742282,0,{'provider_reported': 200},373.90999999999997,487.96004999999997,373.90999999999997,487.96004999999997,79.482,141.70325,0.02871141,8,2026-09-23T02:28:58.764645+00:00,2026-09-23T02:29:11.450690+00:00,0.0
w3_deepseek_c4,4,200,44,deepseek,5,3,200,200,0,3.7406703240073242,53.466353000000005,0.0238332,0,{'estimated_upper_peak_uncached': 200},1009.9825000000001,1219.0532999999998,1009.9825000000001,1219.0532999999998,0.001,0.002,0.119166,4,2026-09-23T02:29:17.478238+00:00,2026-09-23T02:30:10.945378+00:00,0.0
w3_luna_c4,4,200,45,luna,5,3,200,200,0,2.9681031019289343,67.383104,0.0171462,0,{'provider_reported': 200},1231.7165,1905.3674499999993,1231.7165,1905.3674499999993,0.001,0.002,0.085731,4,2026-09-23T02:30:18.685757+00:00,2026-09-23T02:31:26.069785+00:00,0.0
w3_gemini_c1,1,200,46,gemini,5,3,200,200,0,1.2614194012068594,158.551549,0.02119450,0,{'provider_reported': 200},732.3695,842.4049499999999,732.3695,842.4049499999999,0.001,0.002,0.1059725,1,2026-09-23T02:31:30.654491+00:00,2026-09-23T02:34:09.214077+00:00,0.0
w3_luna_c1,1,200,47,luna,5,3,200,200,0,0.7920237662571541,252.517675,0.0171462,0,{'provider_reported': 200},1169.9344999999998,1537.4551999999999,1169.9344999999998,1537.4551999999999,0.001,0.002,0.085731,1,2026-09-23T02:34:15.385808+00:00,2026-09-23T02:38:27.907828+00:00,0.0
